"","Date","HomeTeam","HS","AwayTeam","AS"
"478",2018-10-28,"Barcelona",13,"Real Madrid",15
"479",2018-10-28,"Getafe",16,"Betis",7
"480",2018-10-28,"Sevilla",15,"Huesca",11
"481",2018-11-03,"Leganes",8,"Ath Madrid",9
"482",2018-11-03,"Real Madrid",16,"Valladolid",12
"483",2018-11-03,"Valencia",27,"Girona",5
"484",2018-11-03,"Vallecano",11,"Barcelona",9
"485",2018-11-04,"Betis",14,"Celta",14
"486",2018-11-04,"Eibar",23,"Alaves",9
"487",2018-11-04,"Huesca",18,"Getafe",8
"488",2018-11-04,"Sociedad",10,"Sevilla",8
"489",2018-11-04,"Villarreal",23,"Levante",13
"490",2018-11-05,"Espanol",8,"Ath Bilbao",10
"491",2018-11-09,"Levante",17,"Sociedad",15
"492",2018-11-10,"Ath Madrid",9,"Ath Bilbao",6
"493",2018-11-10,"Getafe",17,"Valencia",7
"494",2018-11-10,"Girona",5,"Leganes",10
"495",2018-11-10,"Valladolid",9,"Eibar",16
"496",2018-11-11,"Alaves",13,"Huesca",9
"497",2018-11-11,"Barcelona",20,"Betis",15
"498",2018-11-11,"Celta",15,"Real Madrid",14
"499",2018-11-11,"Sevilla",23,"Espanol",15
"500",2018-11-11,"Vallecano",15,"Villarreal",11
"501",2018-11-23,"Leganes",13,"Alaves",7
"502",2018-11-24,"Ath Madrid",3,"Barcelona",8
"503",2018-11-24,"Eibar",14,"Real Madrid",9
"504",2018-11-24,"Huesca",32,"Levante",5
"505",2018-11-24,"Valencia",13,"Vallecano",13
"506",2018-11-25,"Ath Bilbao",8,"Getafe",15
"507",2018-11-25,"Espanol",18,"Girona",16
"508",2018-11-25,"Sevilla",17,"Valladolid",13
"509",2018-11-25,"Villarreal",13,"Betis",13
"510",2018-11-26,"Sociedad",15,"Celta",6
"511",2018-11-30,"Vallecano",5,"Eibar",13
"512",2018-12-01,"Celta",12,"Huesca",8
"513",2018-12-01,"Getafe",14,"Espanol",8
"514",2018-12-01,"Real Madrid",13,"Valencia",7
"515",2018-12-01,"Valladolid",20,"Leganes",14
"516",2018-12-02,"Alaves",11,"Sevilla",14
"517",2018-12-02,"Barcelona",16,"Villarreal",12
"518",2018-12-02,"Betis",6,"Sociedad",6
"519",2018-12-02,"Girona",13,"Ath Madrid",17
"520",2018-12-03,"Levante",17,"Ath Bilbao",12
"521",2018-12-07,"Leganes",17,"Getafe",6
"522",2018-12-08,"Ath Madrid",12,"Alaves",13
"523",2018-12-08,"Espanol",15,"Barcelona",17
"524",2018-12-08,"Valencia",16,"Sevilla",11
